state,session,bill,legiscan_link,legiscan_title,summary
Nebraska,2017-2018,LB107,https://legiscan.com/NE/bill/LB107/2017,NE LB107 | 2017-2018 | 105th Legislature | LegiScan,"Prohibit sexual assault of a patient, client, or student as prescribed"
Nebraska,2017-2018,LB1070,https://legiscan.com/NE/bill/LB1070/2018,NE LB1070 | 2017-2018 | 105th Legislature | LegiScan,Change an election requirement for school districts with fewer than twenty-five students in high school grades
Nebraska,2017-2018,LB1071,https://legiscan.com/NE/bill/LB1071/2018,NE LB1071 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Infrastructure Improvement and Replacement Assistance Act and provide for a turn back of state sales tax revenue
Nebraska,2017-2018,LB1072,https://legiscan.com/NE/bill/LB1072/2018,NE LB1072 | 2017-2018 | 105th Legislature | LegiScan,Change a preference in awarding public contracts and eliminate reciprocal preference provisions
Nebraska,2017-2018,LB1073,https://legiscan.com/NE/bill/LB1073/2018,NE LB1073 | 2017-2018 | 105th Legislature | LegiScan,Provide for additional information relating to foster care placements as prescribed
Nebraska,2017-2018,LB1074,https://legiscan.com/NE/bill/LB1074/2018,NE LB1074 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to individual income tax brackets and rates and the earned income tax credit
Nebraska,2017-2018,LB1075,https://legiscan.com/NE/bill/LB1075/2018,NE LB1075 | 2017-2018 | 105th Legislature | LegiScan,Impose a fee on transfers of real estate
Nebraska,2017-2018,LB1076,https://legiscan.com/NE/bill/LB1076/2018,NE LB1076 | 2017-2018 | 105th Legislature | LegiScan,Increase the documentary stamp tax and provide for the use of the revenue
Nebraska,2017-2018,LB1077,https://legiscan.com/NE/bill/LB1077/2018,NE LB1077 | 2017-2018 | 105th Legislature | LegiScan,Eliminate levy limits for school districts
Nebraska,2017-2018,LB1078,https://legiscan.com/NE/bill/LB1078/2018,NE LB1078 | 2017-2018 | 105th Legislature | LegiScan,"Change sibling placement and other foster care requirements, change sibling visitation, require reporting of sexual abuse, and eliminate certain obsolete provisions"
