Bill,assembly_number,category
SJR 2003,88,
SSB 1073,88,
SF 2282,88,
SSB 3170,88,
HF 2393,88,
HSB 683,88,
SSB 3183,88,
SF 2290,88,
SF 2295,88,
SF 2306,88,
HF 2432,88,
SF 2107,88,
HF 2450,88,
SF 2298,88,
SSB 3190,88,
HSB 635,88,
HF 2269,88,
HSB 658,88,
SF 2236,88,
SF 2291,88,
SSB 3138,88,
SF 2209,88,
SF 2280,88,
SF 2292,88,
SSB 3159,88,
SSB 3163,88,
HF 2376,88,
SF 2214,88,
SF 2239,88,
SSB 3172,88,
HSB 703,88,
HSB 698,88,
HSB 699,88,
HSB 700,88,
SSB 3174,88,
HF 2130,88,
HF 2400,88,
SSB 3185,88,
HF 2416,88,
SSB 3189,88,
HF 2161,88,
HF 2065,88,
HF 2433,88,
HF 2328,88,
SSB 3136,88,
HF 2120,88,
SSB 3182,88,
HF 697,88,
HSB 701,88,
SF 2129,88,
HSB 518,88,
SJR 2002,88,
SF 2217,88,
HF 2306,88,
HF 2407,88,
SSB 3139,88,
SF 2244,88,
SF 2193,88,
SF 2194,88,
SSB 3076,88,
SSB 3117,88,
HF 2081,88,
HF 2117,88,
HF 2272,88,
HF 2274,88,
HF 298,88,
SF 2125,88,
SF 2156,88,
SF 269,88,
SSB 3181,88,
HF 2164,88,
HF 2201,88,
SF 2231,88,
HF 2301,88,
SF 2281,88,
HF 2109,88,
HSB 684,88,
SF 2279,88,
HF 2370,88,
HF 2387,88,
SSB 3156,88,
HF 2325,88,
HSB 666,88,
SF 2138,88,
HF 2273,88,
SF 2170,88,
HSB 694,88,
HF 2286,88,
SF 2148,88,
SF 2146,88,
SSB 3092,88,
HF 2167,88,
SF 2171,88,
SF 2255,88,
SSB 3155,88,
HSB 678,88,
SF 2149,88,
SF 2213,88,
SF 2224,88,
HF 2239,88,
SF 2257,88,
HSB 687,88,
SSB 3162,88,
SSB 3161,88,
HSB 619,88,
HF 2153,88,
HF 539,88,
SSB 3164,88,
HF 2395,88,
SSB 3151,88,
HSB 645,88,
SF 2001,88,
HF 2211,88,
HF 2202,88,
SF 2130,88,
SSB 3088,88,
SF 2113,88,
HF 2253,88,
SSB 3175,88,
SSB 3160,88,
SSB 3153,88,
HF 2282,88,
HSB 663,88,
SF 571,88,
HSB 688,88,
SSB 3165,88,
HF 2378,88,
HF 2220,88,
SSB 1034,88,
SSB 3115,88,
SSB 3149,88,
HSB 539,88,
HSB 555,88,
SF 2048,88,
SF 2073,88,
SF 2243,88,
HF 2023,88,
HF 2112,88,
HF 2199,88,
HF 2213,88,
HSB 588,88,
HSB 589,88,
HSB 638,88,
HF 2326,88,
SF 2175,88,
SSB 3132,88,
SF 2172,88,
SF 2256,88,
SF 2235,88,
SF 308,88,
SF 22,88,
SSB 3179,88,
SF 2003,88,
HF 2203,88,
SSB 3135,88,
HF 2321,88,
HF 2355,88,
HF 2131,88,
HF 2134,88,
HF 2135,88,
HF 2218,88,
HF 2258,88,
HF 2307,88,
SF 2151,88,
SF 2266,88,
SF 2267,88,
SSB 3177,88,
HSB 682,88,
SF 2249,88,
SF 2263,88,
HF 2139,88,
HSB 597,88,
HSB 665,88,
HF 2336,88,
SSB 3150,88,
SSB 3131,88,
HF 2368,88,
SSB 3094,88,
SSB 3068,88,
HF 2055,88,
SF 2103,88,
HF 2216,88,
HF 2061,88,
HF 2311,88,
SF 2091,88,
SF 2166,88,
SF 2198,88,
HSB 668,88,
HF 2154,88,
HF 2243,88,
SF 2142,88,
HSB 616,88,
SF 2021,88,
HF 2030,88,
HSB 659,88,
SSB 3078,88,
SSB 3127,88,
HF 2331,88,
SSB 3112,88,
HF 2124,88,
HF 2175,88,
HF 2314,88,
SF 613,88,
HF 2296,88,
SSB 3110,88,
HF 2323,88,
HF 2324,88,
HF 326,88,
SF 2203,88,
HF 2106,88,
HF 2265,88,
HF 2332,88,
HF 2335,88,
SF 280,88,
SF 572,88,
SF 2191,88,
HF 2089,88,
HF 2350,88,
HF 2358,88,
SSB 3169,88,
HF 2277,88,
HF 2284,88,
HSB 614,88,
SF 2137,88,
SF 2232,88,
HF 2389,88,
HF 2362,88,
HF 2373,88,
SSB 3032,88,
HSB 642,88,
SSB 3133,88,
HSB 62,88,
HF 2303,88,
HSB 590,88,
SF 2035,88,
SSB 3016,88,
HF 2316,88,
HSB 660,88,
HSB 672,88,
SF 2128,88,
SF 2242,88,
SSB 3144,88,
SF 116,88,
SF 2080,88,
SSB 3120,88,
SSB 3128,88,
SSB 3121,88,
SSB 3167,88,
HF 2365,88,
SSB 3166,88,
HF 682,88,
SSB 3045,88,
HSB 656,88,
HF 2187,88,
SSB 3143,88,
HSB 526,88,
HSB 630,88,
SF 2222,88,
SF 2070,88,
HSB 70,88,
SF 2144,88,
HF 2337,88,
HF 2334,88,
HF 2295,88,
SSB 3123,88,
HSB 662,88,
SSB 3137,88,
SSB 3148,88,
HF 2171,88,
SF 508,88,
HF 534,88,
SF 483,88,
SF 578,88,
SSB 1215,88,
SSB 1224,88,
SF 2079,88,
SSB 3129,88,
SF 2234,88,
HF 2330,88,
HF 2343,88,
SF 2169,88,
SF 2160,88,
SF 2161,88,
HF 2119,88,
SSB 3111,88,
SSB 3145,88,
SSB 3146,88,
HSB 560,88,
HSB 664,88,
SSB 3065,88,
HF 2322,88,
HF 2110,88,
HSB 636,88,
SSB 3062,88,
HF 2262,88,
HF 2317,88,
HSB 644,88,
HSB 596,88,
HSB 622,88,
HSB 651,88,
HSB 607,88,
HF 2302,88,
SF 2157,88,
HF 2333,88,
SF 2226,88,
HF 2327,88,
SF 2216,88,
HF 2299,88,
HF 2300,88,
HF 2313,88,
SF 2096,88,
HSB 677,88,
HSB 566,88,
HSB 654,88,
HF 2315,88,
SSB 3079,88,
HF 663,88,
HF 2283,88,
SF 2228,88,
SF 2229,88,
HSB 655,88,
SF 2041,88,
SF 2174,88,
SF 2141,88,
HF 2293,88,
HF 2198,88,
HSB 567,88,
SSB 3082,88,
SF 2205,88,
SF 2210,88,
HF 2294,88,
SF 375,88,
HF 472,88,
HF 662,88,
SSB 3141,88,
SF 307,88,
HSB 629,88,
HSB 564,88,
HSB 631,88,
HSB 661,88,
HF 2281,88,
HF 2290,88,
HSB 649,88,
SSB 3126,88,
SF 579,88,
SF 2202,88,
HF 2297,88,
HSB 627,88,
HSB 609,88,
HF 2093,88,
SSB 3119,88,
SSB 3051,88,
HSB 581,88,
HF 2166,88,
HF 2183,88,
SF 2179,88,
HSB 634,88,
SF 2158,88,
HF 2240,88,
SF 2167,88,
SSB 3103,88,
SSB 3104,88,
SSB 3105,88,
HSB 617,88,
HSB 615,88,
HF 2268,88,
SSB 3089,88,
SF 606,88,
HSB 591,88,
HF 476,88,
HF 669,88,
HF 2168,88,
HSB 611,88,
HSB 652,88,
SF 2199,88,
HF 2194,88,
SF 2212,88,
SSB 3107,88,
HSB 640,88,
SF 2094,88,
HF 2180,88,
HF 2223,88,
SF 2049,88,
HF 2255,88,
SF 2192,88,
SSB 1191,88,
HSB 500,88,
HF 2146,88,
SSB 3108,88,
HF 2126,88,
HF 2157,88,
