state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment_500,empath_energy_500,empath_social_500,empath_governance_500,empath_immigration_500,empath_environment_1000,empath_energy_1000,empath_social_1000,empath_governance_1000,empath_immigration_1000,empath_environment_5000,empath_energy_5000,empath_social_5000,empath_governance_5000,empath_immigration_5000
Iowa,86,SF 2291,Iowa Senate Bill 2291,https://legiscan.com/IA/text/SF2291/id/1348607/Iowa-2015-SF2291-Introduced.html,iowa_general_assembly_86_SF2291.txt,0.0,0.0,0.0004754584778178958,0.009405498158938977,0.0,0.0006327530118328389,3.574875773066886e-06,0.0004754584778178958,0.009405498158938977,0.0,0.0006327530118328389,3.574875773066886e-06,0.0004754584778178958,0.009405498158938977,0.0
Iowa,86,HF 2370,Iowa House Bill 2370,https://legiscan.com/IA/text/HF2370/id/1378230/Iowa-2015-HF2370-Enrolled.html,iowa_general_assembly_86_HF2370.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2154,Iowa Senate Bill 2154,https://legiscan.com/IA/text/SF2154/id/1333450/Iowa-2015-SF2154-Introduced.html,iowa_general_assembly_86_SF2154.txt,0.000583676513505626,0.0004215441486429521,0.004831544472907682,0.0012970589189013912,0.0,0.0008430882972859042,0.0004215441486429521,0.004831544472907682,0.0012970589189013912,0.0,0.0008430882972859042,0.0004215441486429521,0.004831544472907682,0.0012970589189013912,0.0
Iowa,86,HF 2385,Iowa House Bill 2385,https://legiscan.com/IA/text/HF2385/id/1379346/Iowa-2015-HF2385-Enrolled.html,iowa_general_assembly_86_HF2385.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2343,Iowa House Bill 2343,https://legiscan.com/IA/text/HF2343/id/1370473/Iowa-2015-HF2343-Enrolled.html,iowa_general_assembly_86_HF2343.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2342,Iowa House Bill 2342,https://legiscan.com/IA/text/HF2342/id/1371667/Iowa-2015-HF2342-Enrolled.html,iowa_general_assembly_86_HF2342.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 410,Iowa Senate Bill 410,https://legiscan.com/IA/text/SF410/id/1188345/Iowa-2015-SF410-Amended.html,iowa_general_assembly_86_SF410.txt,0.0,0.0,0.0007324975348640654,0.0010424003380757852,0.0,0.0,0.0,0.0007324975348640654,0.0010424003380757852,0.0,0.0,0.0,0.0007324975348640654,0.0010424003380757852,0.0
Iowa,86,SF 2248,Iowa Senate Bill 2248,https://legiscan.com/IA/text/SF2248/id/1363695/Iowa-2015-SF2248-Amended.html,iowa_general_assembly_86_SF2248.txt,0.0,0.0,0.001018687062674304,0.003957849735308361,0.0,0.00030059618242848316,0.0,0.001018687062674304,0.003957849735308361,0.0,0.00030059618242848316,0.0,0.001018687062674304,0.003957849735308361,0.0
Iowa,86,SF 2294,Iowa Senate Bill 2294,https://legiscan.com/IA/text/SF2294/id/1348643/Iowa-2015-SF2294-Introduced.html,iowa_general_assembly_86_SF2294.txt,0.002325494167510596,0.01117737519222835,0.004163384719252841,0.0039383368965905255,0.0,0.002325494167510596,0.01117737519222835,0.004163384719252841,0.0039383368965905255,0.0,0.002325494167510596,0.01117737519222835,0.004163384719252841,0.0039383368965905255,0.0
Iowa,86,HSB 617,Iowa House Study Bill 617,https://legiscan.com/IA/text/HSB617/id/1334656/Iowa-2015-HSB617-Introduced.html,iowa_general_assembly_86_HSB617.txt,0.0012322858903265558,0.0012322858903265558,0.0,0.0009242144177449168,0.00030807147258163895,0.0012322858903265558,0.0015403573629081946,0.0,0.0009242144177449168,0.00030807147258163895,0.0012322858903265558,0.0015403573629081946,0.0,0.0009242144177449168,0.00030807147258163895
Iowa,86,SSB 3115,Iowa Senate Study Bill 3115,https://legiscan.com/IA/text/SSB3115/id/1328043/Iowa-2015-SSB3115-Introduced.html,iowa_general_assembly_86_SSB3115.txt,0.0012322858903265558,0.0012322858903265558,0.0,0.0009242144177449168,0.00030807147258163895,0.0012322858903265558,0.0015403573629081946,0.0,0.0009242144177449168,0.00030807147258163895,0.0012322858903265558,0.0015403573629081946,0.0,0.0009242144177449168,0.00030807147258163895
Iowa,86,HF 2363,Iowa House Bill 2363,https://legiscan.com/IA/text/HF2363/id/1378117/Iowa-2015-HF2363-Enrolled.html,iowa_general_assembly_86_HF2363.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2148,Iowa House Bill 2148,https://legiscan.com/IA/text/HF2148/id/1361538/Iowa-2015-HF2148-Amended.html,iowa_general_assembly_86_HF2148.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2235,Iowa Senate Bill 2235,https://legiscan.com/IA/text/SF2235/id/1357807/Iowa-2015-SF2235-Amended.html,iowa_general_assembly_86_SF2235.txt,0.0007377805102981862,0.0003688902551490931,0.00043037196434060865,0.0,0.0009222256378727329,0.0007377805102981862,0.0007377805102981862,0.00043037196434060865,0.0,0.0009222256378727329,0.0007377805102981862,0.0007377805102981862,0.00043037196434060865,0.0,0.0009222256378727329
Iowa,86,HF 2364,Iowa House Bill 2364,https://legiscan.com/IA/text/HF2364/id/1369728/Iowa-2015-HF2364-Enrolled.html,iowa_general_assembly_86_HF2364.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2345,Iowa House Bill 2345,https://legiscan.com/IA/text/HF2345/id/1379005/Iowa-2015-HF2345-Enrolled.html,iowa_general_assembly_86_HF2345.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2190,Iowa Senate Bill 2190,https://legiscan.com/IA/text/SF2190/id/1362613/Iowa-2015-SF2190-Amended.html,iowa_general_assembly_86_SF2190.txt,0.0,0.004671842856194837,0.0040215010949631695,0.0,0.0,0.0,0.004671842856194837,0.0040215010949631695,0.0,0.0,0.0,0.004671842856194837,0.0040215010949631695,0.0,0.0
Iowa,86,HF 2397,Iowa House Bill 2397,https://legiscan.com/IA/text/HF2397/id/1347146/Iowa-2015-HF2397-Introduced.html,iowa_general_assembly_86_HF2397.txt,0.0008908024645534853,0.02152772622670923,0.0012619701581174374,0.0,0.0,0.0008908024645534853,0.02152772622670923,0.0012619701581174374,0.0,0.0,0.0008908024645534853,0.02152772622670923,0.0012619701581174374,0.0,0.0
Iowa,86,HF 2390,Iowa House Bill 2390,https://legiscan.com/IA/text/HF2390/id/1347182/Iowa-2015-HF2390-Introduced.html,iowa_general_assembly_86_HF2390.txt,0.0,0.0,0.0,0.0016979624450659209,0.0,0.0,0.0,0.0,0.0016979624450659209,0.0,0.0,0.0,0.0,0.0016979624450659209,0.0
